participante,kata,tratamento,hora_inicio,hora_fim,T_TTG_min,censurado,N_total,N_pass,N_fail,SR_test_pct,N_prompts,num_funcoes,complexidade_media,complexidade_maxima,loc,sloc,linhas_em_branco,indice_manutenibilidade,observacoes
P1,K3,B,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,0,7,7,0,100.0,~10,1,5.0,5,20,13,5,59.25,"Falha de protocolo: cronometro nao foi iniciado no comeco do trial. K3 e K4 resolvidos na mesma sessao/conversa, entao N_prompts e uma divisao aproximada. Suite so fechou 7/7 apos correcao de typo no proprio arquivo de teste (limite 20->25 em test_media_igual_ao_limite_e_valida); a implementacao ja estava correta e passava 6/6 antes da correcao do teste. Metricas estaticas via analise_estatica.py em 2026-09-17T02:27:53Z."
P1,K4,B,NAO_REGISTRADO,NAO_REGISTRADO,NAO_REGISTRADO,0,6,6,0,100.0,~5,1,5.0,5,21,13,6,61.32,"Mesma sessao do K3. Fechou 6/6 de primeira, sem retrabalho na implementacao. Metricas estaticas via analise_estatica.py em 2026-09-17T02:27:58Z."
