metrica,coluna_codigo,tratamento,tratamento_nome,n,mediana,q1,q3,iqr,media,desvio_padrao,minimo,maximo,limite_inf_iqr,limite_sup_iqr,outliers_count,outliers
Complexidade Ciclomatica Media (McCabe),complexidade_media,A,Manual (A),6,6.5,5.25,7.0,1.75,6.67,1.86,5.0,10.0,2.62,9.62,1,[10.0]
Complexidade Ciclomatica Media (McCabe),complexidade_media,B,Com IA (B),6,6.0,5.25,6.75,1.5,6.0,0.89,5.0,7.0,3.0,9.0,0,[]
Linhas de Codigo Fonte Executavel (SLOC),sloc,A,Manual (A),6,15.0,13.5,16.5,3.0,16.17,4.12,13.0,24.0,9.0,21.0,1,[24]
Linhas de Codigo Fonte Executavel (SLOC),sloc,B,Com IA (B),6,15.0,13.0,17.75,4.75,15.33,2.58,13.0,18.0,5.88,24.88,0,[]
Linhas de Codigo Totais (LOC),loc,A,Manual (A),6,23.0,21.0,28.0,7.0,25.83,6.77,21.0,38.0,10.5,38.5,0,[]
Linhas de Codigo Totais (LOC),loc,B,Com IA (B),6,26.0,24.25,27.75,3.5,25.5,2.74,21.0,28.0,19.0,33.0,0,[]
Indice de Manutenibilidade (MI),indice_manutenibilidade,A,Manual (A),6,60.05,58.27,61.13,2.86,58.84,3.52,52.2,61.53,53.98,65.42,1,[52.2]
Indice de Manutenibilidade (MI),indice_manutenibilidade,B,Com IA (B),6,65.18,56.53,82.91,26.38,69.41,15.23,55.65,88.0,16.97,122.47,0,[]
